pwm,16V,12V
1100,-9,-6.62
1110,-8.9,-6.58
1120,-8.7,-6.34
1130,-8.44,-6.09
1140,-8.23,-5.8
1150,-7.98,-5.59
1160,-7.59,-5.23
1170,-7.28,-5.15
1180,-7.02,-4.98
1190,-6.74,-4.77
1200,-6.41,-4.34
1210,-6.21,-4.01
1220,-5.97,-3.86
1230,-5.57,-3.72
1240,-5.21,-3.48
1250,-4.98,-3.18
1260,-4.8,-3.11
1270,-4.39,-2.91
1280,-4.15,-2.69
1290,-3.9,-2.53
1300,-3.62,-2.4
1310,-3.29,-2.23
1320,-2.94,-1.97
1330,-2.74,-1.76
1340,-2.47,-1.66
1350,-2.26,-1.48
1360,-2,-1.32
1370,-1.74,-1.12
1380,-1.53,-0.96
1390,-1.36,-0.83
1400,-1.15,-0.71
1410,-0.96,-0.6
1420,-0.78,-0.47
1430,-0.61,-0.38
1440,-0.42,-0.27
1450,-0.25,-0.19
1460,-0.12,-0.13
1470,-0.06,-0.08
1480,0,0
1490,0,0
1500,0,0
1510,0,0
1520,0,0
1530,0.13,0.11
1540,0.25,0.19
1550,0.41,0.28
1560,0.58,0.39
1570,0.77,0.51
1580,0.92,0.63
1590,1.15,0.79
1600,1.4,0.93
1610,1.58,1.04
1620,1.86,1.24
1630,2.08,1.4
1640,2.43,1.46
1650,2.75,1.65
1660,3.07,1.91
1670,3.37,2.14
1680,3.7,2.3
1690,3.98,2.53
1700,4.32,2.84
1710,4.62,3.1
1720,4.89,3.33
1730,5.32,3.55
1740,5.56,3.85
1750,5.94,4.09
1760,6.23,4.34
1770,6.66,4.69
1780,7.04,4.8
1790,7.39,5.02
1800,7.6,5.15
1810,7.7,5.55
1820,8.33,5.88
1830,8.69,6.07
1840,8.83,6.48
1850,9.25,6.52
1860,9.65,6.58
1870,10.07,6.95
1880,10.59,7.36
1890,10.8,7.66
1900,11.23,7.79
